original,normalized,count
Slot Match Rate,SLOT MATCH RATE,1
Slot Precision,SLOT PRECISION,1
Slot change F1,SLOT CHANGE F1,1
Slot error rate,SLOT ERROR RATE,1
Slot value alignment rate,SLOT VALUE ALIGNMENT RATE,1
Slot-F1,SLOT F1,1
Slot-filling accuracy,SLOT FILLING ACCURACY,1
Smatch_Ctx,SMATCH CTX,1
Smith-Waterman similarity,SMITH WATERMAN SIMILARITY,1
Smooth Coverage,SMOOTH COVERAGE,1
Smooth ECE,SMOOTH ECE,1
SoPR,SOPR,1
Social Norm Appropriateness,SOCIAL NORM APPROPRIATENESS,1
SocialIQA,SOCIALIQA,1
Socratic Questioning,SOCRATIC QUESTIONING,1
Soft Alignment Metric,SOFT ALIGNMENT,1
Soft Constraint Satisfaction,SOFT CONSTRAINT SATISFACTION,1
Soft Coverage,SOFT COVERAGE,1
Soft Label Flip Rate,SOFT LABEL FLIP RATE,1
Soft Satisfaction Rate (SSR),SOFT SATISFACTION RATE SSR,1
Soft Similarity,SOFT SIMILARITY,1
Soft uniqueness,SOFT UNIQUENESS,1
Soft-F1 (sF1),SOFT F1 SF1,1
Soft-Precision (sP),SOFT PRECISION,1
Soft-Recall (sR),SOFT RECALL SR,1
Soft-Score,SOFT,1
Solution Accuracy,SOLUTION ACCURACY,1
Solution Leakage,SOLUTION LEAKAGE,1
Solvable,SOLVABLE,1
Solvable Pass Rate (SoPR),SOLVABLE PASS RATE SOPR,1
Solvable Win Rate (SoWR),SOLVABLE WIN RATE SOWR,1
Solving Accuracy,SOLVING ACCURACY,1
Solving Rate,SOLVING RATE,1
Somer's D,SOMER S,1
Somers' D,SOMER S,1
Sonar Maintainability,SONAR MAINTAINABILITY,1
Sonar Reliability,SONAR RELIABILITY,1
Sotopia Goal Completion,SOTOPIA GOAL COMPLETION,1
Source Attack Success Rate (S-ASR),SOURCE ATTACK SUCCESS RATE S ASR,1
Source F1,SOURCE F1,1
Source Quality Score,SOURCE QUALITY,1
Source-BLEU,SOURCE BLEU,1
Space Overhead,SPACE OVERHEAD,1
Spache,SPACHE,1
Spamicity,SPAMICITY,1
Span,SPAN,1
Span Check,SPAN CHECK,1
Span EM,SPAN EM,1
Spatial Score,SPATIAL,1
Speaker accuracy,SPEAKER ACCURACY,1
Spearman Correlation Coefficient,SPEARMAN S RANK CORRELATION COEFFICIENT,1
Spearman r,SPEARMAN,1
Spearman's Rank Correlation Coefficient,SPEARMAN S RANK CORRELATION COEFFICIENT,1
Spearman's correlation coefficient,SPEARMAN S RANK CORRELATION COEFFICIENT,1
Spearman's rho,SPEARMAN S RHO,1
Special_Avg_F1,SPECIAL F1,1
Specific Words Frequency,SPECIFIC WORDS FREQUENCY,1
Specification Compliance,SPECIFICATION COMPLIANCE,1
Specificity Score,SPECIFICITY,1
Speciteller,SPECITELLER,1
Spectral Overlap,SPECTRAL OVERLAP,1
Speculative Decoding Acceptance Rate,SPECULATIVE DECODING ACCEPTANCE RATE,1
Speech Similarity,SPEECH SIMILARITY,1
Speech goal completion,SPEECH GOAL COMPLETION,1
SpeechBERTScore,SPEECHBERTSCORE,1
Speed,SPEED,1
Speed accuracy,SPEED ACCURACY,1
Speed-up Ratio,SPEEDUP RATIO,1
Spellcheck correctness,SPELLCHECK CORRECTNESS,1
Spk-sv,SPK SV,1
Spoiled Games (SG),SPOILED GAMES SG,1
Squared deviations from the mean (SDM),SQUARED DEVIATIONS FROM THE SDM,1
Squim-MOS,SQUIM MOS,1
Stability (Stab),STABILITY STAB,1
Stability of Complexity,STABILITY OF COMPLEXITY,1
Stance,STANCE,1
Stance Accuracy,STANCE ACCURACY,1
Stance Accuracy (SA),STANCE ACCURACY,1
Stance Bias (OB),STANCE BIAS OB,1
Stance Consistency Rate,STANCE CONSISTENCY RATE,1
Stance Consistency Score,STANCE CONSISTENCY,1
Stance Detection,STANCE DETECTION,1
Stance Detection Accuracy,STANCE DETECTION ACCURACY,1
Stance Distance,STANCE DISTANCE,1
Stance Diversity (OD),STANCE DIVERSITY OD,1
Stance Vector Norm (∥s∥),STANCE VECTOR NORM,1
Stance classifier,STANCE CLASSIFIER,1
Standard Accuracy,STANDARD ACCURACY,1
Standard Deviation (SD),STANDARD DEVIATION,1
Standard Deviation of Bias,STANDARD DEVIATION OF BIAS,1
Standard Parse-Eval,STANDARD PARSE EVAL,1
Stanza+Snomed,STANZA+SNOMED,1
State Inference Accuracy,STATE INFERENCE ACCURACY,1
State-EM,STATE EM,1
Statement F1,STATEMENT F1,1
Statistical Accuracy,STATISTICAL ACCURACY,1
Statistical Parity,STATISTICAL PARITY,1
Statistical Significance (McNemar's test),STATISTICAL SIGNIFICANCE MCNEMAR S TEST,1
Statistical Significance (t-test),STATISTICAL SIGNIFICANCE TESTING,1
"Statistical Significance (t-test, z-test)",STATISTICAL SIGNIFICANCE T TEST Z TEST,1
Statistical Significance Testing,STATISTICAL SIGNIFICANCE TESTING,1
Statistical significance testing,STATISTICAL SIGNIFICANCE TESTING,1
Steerability Index,STEERABILITY INDEX,1
Steering Success Rate,STEERING SUCCESS RATE,1
"Steganalysis (TS-BiRNN, R-BiLSTM-C, BERT-C)",STEGANALYSIS TS BIRNN R BILSTM C BERT,1
Steganalysis accuracy (ACC),STEGANALYSIS ACCURACY ACC,1
Step Execution Rate,STEP EXECUTION RATE,1
Step Reward Accuracy,STEP REWARD ACCURACY,1
Step-EM,STEP EM,1
Step-wise Efficiency,STEP WISE EFFICIENCY,1
Step-wise Error Rate,STEP WISE ERROR RATE,1
Step-wise correctness,STEP WISE CORRECTNESS,1
StepLen,STEPLEN,1
StepNum,STEPNUM,1
Steps (F1),STEPS F1,1
Steps AllCorrect,STEPS ALLCORRECT,1
Steps F1,STEPS F1,1
Steps-AllCorrect,STEPS ALLCORRECT,1
StereoSet,STEREOSET,1
Stereotype,STEREOTYPE,1
Stereotype Association Rate,STEREOTYPE ASSOCIATION RATE,1
Stereotype Content Dictionary mapping,STEREOTYPE CONTENT DICTIONARY MAPPING,1
Stereotype lexicon counts,STEREOTYPE LEXICON COUNTS,1
Stereotype rate (g_s),STEREOTYPE RATE G,1
Stereotypical Association (SA),STEREOTYPICAL ASSOCIATION SA,1
Stereotypical Bias,STEREOTYPICAL BIAS,1
Stopword Count,STOPWORD COUNT,1
Stopword Distributions,STOPWORD DISTRIBUTIONS,1
Story Cloze Test accuracy,STORY CLOZE TEST ACCURACY,1
Storyline Consistency,STORYLINE CONSISTENCY,1
Storyline Quality,STORYLINE QUALITY,1
Str_EM,STR EM,1
Strategic Depth,STRATEGIC DEPTH,1
Strategy Alignment,STRATEGY ALIGNMENT,1
Strategy Conformity,STRATEGY CONFORMITY,1
Stratified Approximate Randomization (AR),STRATIFIED APPROXIMATE RANDOMIZATION AR,1
StreamLAAL,STREAMLAAL,1
Stress-Duration Alignment,STRESS DURATION ALIGNMENT,1
Strict Denotation Accuracy,STRICT DENOTATION ACCURACY,1
Strict Division Accuracy,STRICT DIVISION ACCURACY,1
Strict Match,STRICT MATCH,1
Strict instruction adherence,STRICT INSTRUCTION ADHERENCE,1
String Edit Distance,STRING EDIT DISTANCE,1
String Exact Match,STRING EXACT MATCH,1
String Overlap F1,STRING OVERLAP F1,1
String edit distance,STRING EDIT DISTANCE,1
String matching recall,STRING MATCHING RECALL,1
String-matching,STRING MATCHING,1
Structural Accuracy,STRUCTURAL ACCURACY,1
Structural Accuracy (StCA),STRUCTURAL ACCURACY STCA,1
Structural Correctness,STRUCTURAL CORRECTNESS,1
Structural Correctness Accuracy,STRUCTURAL CORRECTNESS ACCURACY,1
Structural Correctness Accuracy (StCA),STRUCTURAL CORRECTNESS ACCURACY,1
Structural Coverage,STRUCTURAL COVERAGE,1
Structural Hamming Distance,STRUCTURAL HAMMING DISTANCE,1
Structural error rate,STRUCTURAL ERROR RATE,1
Structurality,STRUCTURALITY,1
Structure,STRUCTURE,1
Structure Accuracy,STRUCTURAL ACCURACY,1
Structure F1,STRUCTURE F1,1
Structure Match Accuracy,STRUCTURE MATCH ACCURACY,1
Structure Score,STRUCTURE,1
Structure Similarity,STRUCTURE SIMILARITY,1
Structure similarity,STRUCTURE SIMILARITY,1
Structured Hamming Distance,STRUCTURAL HAMMING DISTANCE,1
Student Accuracy,STUDENT ACCURACY,1
Student Mistake Correction,STUDENT MISTAKE CORRECTION,1
Student Mistake Location,STUDENT MISTAKE LOCATION,1
Student Solution Correctness,STUDENT SOLUTION CORRECTNESS,1
Style,STYLE,1
Style Accuracy (document-level),STYLE ACCURACY DOCUMENT LEVEL,1
Style Accuracy (sentence-level),STYLE ACCURACY SENTENCE LEVEL,1
Style Alignment (A),STYLE ALIGNMENT,1
Style Classification,STYLE CLASSIFICATION,1
Style Intensity,STYLE INTENSITY,1
Style Intensity (SI),STYLE INTENSITY,1
Style Inversion Accuracy,STYLE INVERSION ACCURACY,1
Style Score,STYLE,1
Style embedding similarity,STYLE EMBEDDING SIMILARITY,1
Style-Controlled Win Rate,STYLE CONTROLLED WIN RATE,1
Style-appropriateness (log-likelihood ratio),STYLE APPROPRIATENESS LOG LIKELIHOOD RATIO,1
Style-transfer Accuracy,STYLE TRANSFER ACCURACY,1
StyleProb,STYLEPROB,1
Stylistic Shift (STS),STYLISTIC SHIFT STS,1
Stylistic Similarity (Style-Sim),STYLISTIC SIMILARITY STYLE SIM,1
Stylometric Variation,STYLOMETRIC VARIATION,1
Stylometric feature change,STYLOMETRIC FEATURE CHANGE,1
Sub-Goal Success Rate,SUB GOAL SUCCESS RATE,1
Sub-chart Accuracy,SUB CHART ACCURACY,1
Sub-chart Type Accuracy,SUB CHART TYPE ACCURACY,1
Sub-claim recall,SUB CLAIM RECALL,1
Sub-mission Adoption Rate,SUB MISSION ADOPTION RATE,1
Sub-question Coverage Rate,SUB QUESTION COVERAGE RATE,1
Sub-token Counting Accuracy,SUB TOKEN COUNTING ACCURACY,1
SubSONAR,SUBSONAR,1
Sub_EM,SUBEM,1
Subfigure Count Error Rate,SUBFIGURE COUNT ERROR RATE,1
Subfigure Counting Gap,SUBFIGURE COUNTING GAP,1
Subject Aliasing,SUBJECT ALIASING,1
Subject Aliasing (SA),SUBJECT ALIASING,1
Subject next-mention bias (probability),SUBJECT NEXT MENTION BIAS PROBABILITY,1
Subjective Characteristic Score (SC.Score),SUBJECTIVE CHARACTERISTIC SC,1
Subjectivity,SUBJECTIVITY,1
Subset Accuracy,SUBSET ACCURACY,1
Subspan EM,SUBSPAN EM,1
Substring Exact Match,SUBSTRING EXACT MATCH,1
Subtask Completion Rate (SCR),SUBTASK COMPLETION RATE SCR,1
Subtask Vector Strength,SUBTASK VECTOR STRENGTH,1
Subword Fertility,SUBWORD FERTILITY,1
Succ,SUCC,1
SuccF1,SUCCF1,1
Success F1 (Succ.F1),SUCCESS F1 SUCC F1,1
Success Rate Penalized by Path Length,SUCCESS RATE PENALIZED BY PATH LENGTH,1
Success rate δ≤1.25,SUCCESS RATE,1
Success rate δ≤2,SUCCESS RATE,1
Success weighted by Path Length,SUCCESS BY PATH LENGTH,1
Success%,SUCCESS,1
Success@K,SUCCESS,1
Successor score,SUCCESSOR,1
Sufficiency,SUFFICIENCY,1
Sum of Prompts' Cumulative Length (SPL),SUM OF PROMPTS CUMULATIVE LENGTH SPL,1
SummaC-CONV,SUMMAC CONV,1
SummaC-CV,SUMMAC CONV,1
SummaCConv,SUMMAC CONV,1
SummacConv,SUMMAC CONV,1
SummacZS,SUMMAC ZS,1
Summary Intention Coverage Rate,SUMMARY INTENTION COVERAGE RATE,1
Summary Length,SUMMARY LENGTH,1
Summation Score,SUMMATION,1
Summed-Cluster Gen Bias,SUMMED CLUSTER GEN BIAS,1
SuperGLUE,SUPERGLUE,1
SuperGLUE Score,SUPERGLUE,1
SuperGLUE score,SUPERGLUE,1
Supertagging accuracy,SUPERTAGGING ACCURACY,1
Support EM,SUPPORT EM,1
Support F1,SUPPORT F1,1
Support-EM,SUPPORT EM,1
Support-F1,SUPPORT F1,1
Supportive Details,SUPPORTIVE DETAILS,1
Suppress Ratio (SR),SUPPRESS RATIO SR,1
Surface Metrics,SURFACE METRICS,1
Surprisal Values,SURPRISAL VALUES,1
Surprisal-MCD-AVG,SURPRISAL MCD,1
Surprisal-MCD-VAR,SURPRISAL MCD VAR,1
Surprise,SURPRISE,1
Switch Attempt Rate,SWITCH ATTEMPT RATE,1
Switch Success Rate,SWITCH SUCCESS RATE,1
Switch_count,SWITCH COUNT,1
Sycophancy Mitigation Rate,SYCOPHANCY MITIGATION RATE,1
Sycophancy Rate,SYCOPHANCY RATE,1
Syllable Count Distance,SYLLABLE COUNT DISTANCE,1
Syllable Error,SYLLABLE ERROR,1
Syllables Per Word,SYLLABLES PER WORD,1
Symbolic Threat,SYMBOLIC THREAT,1
Symbolic equivalence,SYMBOLIC EQUIVALENCE,1
Symmetric KL Divergence,SYMMETRIC KL DIVERGENCE,1
Symmetric difference for hypothesis space update,SYMMETRIC DIFFERENCE FOR HYPOTHESIS SPACE UPDATE,1
Sympy evaluation,SYMPY EVALUATION,1
SyncNet,SYNCNET,1
Syntactic Difficulty,SYNTACTIC DIFFICULTY,1
Syntactic Naturalness (MMD with WL kernel),SYNTACTIC NATURALNESS MMD WITH WL KERNEL,1
Syntactic POS n-gram distance,SYNTACTIC POS N GRAM DISTANCE,1
Syntactic Similarity,SYNTACTIC SIMILARITY,1
Syntactic Unit Test Accuracy (SUT Acc),SYNTACTIC UNIT TEST ACCURACY SUT ACC,1
Syntactic diversity,SYNTACTIC DIVERSITY,1
Syntactic pattern accuracy (via Tregex),SYNTACTIC PATTERN ACCURACY VIA TREGEX,1
Syntactic tree edit distance,SYNTACTIC TREE EDIT DISTANCE,1
Syntax Correctness,SYNTAX CORRECTNESS,1
Syntax Element Test Score (SETS),SYNTAX ELEMENT TEST SETS,1
Syntax Error Reduction,SYNTAX ERROR REDUCTION,1
Synthetic Accessibility Score,SYNTHETIC ACCESSIBILITY,1
SysE,SYSE,1
System Fail Rate,SYSTEM FAIL RATE,1
System Performance Metric,SYSTEM PERFORMANCE,1
T*I,T,1
T-ASR,T ASR,1
T-StoryCloze,T STORYCLOZE,1
T-index,T INDEX,1
T1U,T1U,1
T2U,T2U,1
T5 NLI,T5 NLI,1
T5Score,T5SCORE,1
T>S Dur,T S DUR,1
T>S Rate,T S RATE,1
TAA,TAA,1
TABEVAL,TABEVAL,1
TAPAS,TAPAS,1
TAPEX,TAPEX,1
TAR,TAR,1
TC,TC,1
TCA,TCA,1
TCP@K,TCP,1
TCPS,TCPS,1
TE-MNLI,TE MNLI,1
TED-SE,TED SE,1
TF-IDF Distance,TF IDF DISTANCE,1
TF-IDF Similarity,TF IDF SIMILARITY,1
TF-IDF cosine similarity,TF IDF COSINE SIMILARITY,1
TF-IDF prediction accuracy,TF IDF PREDICTION ACCURACY,1
TF-IDF-weighted Overlap,TF IDF OVERLAP,1
TFIDF,TF IDF,1
TIGER,TIGER,1
TMA2,TMA2,1
TMA3,TMA3,1
TMMLU+ Accuracy,TMMLU+ ACCURACY,1
TNS,TNS,1
TOXIGEN,TOXIGEN,1
TP,TP,1
TP@1%,TP,1
TP@5%,TP,1
TP@FP=1%,TP@FP,1
TP@FP=5%,TP@FP,1
TP@N,TP@N,1
TPR at 1% FPR,TPR AT 1 FPR,1
TPR at 5% FPR,TPR AT 1 FPR,1
TPR-gap,TPR GAP,1
TPR@1%,TPR,1
TPR@10%FPR,TPR FPR,1
TPR@5%FPR,TPR FPR,1
TPR@FPR=1%,TPR@FPR,1
TQS,TQS,1
TR-N,TR,1
TR-S,TR,1
TREQA,TREQA,1
TREU,TREU,1
TRF,TRF,1
TRM-BLEU,TRM BLEU,1
TRM-METEOR,TRM METEOR,1
TSCS,TSCS,1
TSR,TSR,1
TU,TU,1
TVD,TVD,1
TabEval,TABEVAL,1
Table EM,TABLE EM,1
Table Exact Match Accuracy,TABLE EXACT MATCH ACCURACY,1
Table Match Score,TABLE MATCH,1
Table Precision,TABLE PRECISION,1
Table Presence,TABLE PRESENCE,1
Table Recall,TABLE RECALL,1
Tagging Accuracy,TAGGING ACCURACY,1
Tags Learned,TAGS LEARNED,1
Target Conformity,TARGET CONFORMITY,1
Target Consistency Score,TARGET CONSISTENCY,1
Target Efficiency Rate,TARGET EFFICIENCY RATE,1
Target Image Retrieval Recall,TARGET IMAGE RETRIEVAL RECALL,1
Targeted Attack Success Rate,TARGETED ATTACK SUCCESS RATE,1
Targeted Persuasion Score (TPS),TARGETED PERSUASION TPS,1
Targetedness,TARGETEDNESS,1
Task Completion,TASK COMPLETION,1
Task Faithfulness,TASK FAITHFULNESS,1
Task Goal Completion (TGC),TASK GOAL COMPLETION TGC,1
Task Progress Score,TASK PROGRESS,1
Task accuracy,TASK ACCURACY,1
Task process rate,TASK PROCESS RATE,1
Task-level Accuracy,TASK LEVEL ACCURACY,1
Taxonomic Sensitivity (TS),TAXONOMIC SENSITIVITY TS,1
Taxonomy edge correctness rate,TAXONOMY EDGE CORRECTNESS RATE,1
Team Accuracy,TERM ACCURACY,1
Team score,TEAM,1
Technical Validity,TECHNICAL VALIDITY,1
Template,TEMPLATE,1
Template Component Precision,TEMPLATE COMPONENT PRECISION,1
Template Component Recall,TEMPLATE COMPONENT RECALL,1
Template Match,TEMPLATE MATCH,1
Template Rate,TEMPLATE RATE,1
Templates per Token,TEMPLATES PER TOKEN,1
Temporal,TEMPORAL,1
Temporal Attraction Score,TEMPORAL ATTRACTION,1
Temporal Bias Index (TBI),TEMPORAL BIAS INDEX TBI,1
Temporal Inconsistency,TEMPORAL CONSISTENCY,1
Temporal Meal Score,TEMPORAL MEAL,1
Temporal Reasoning Accuracy,TEMPORAL REASONING ACCURACY,1
Temporal Referential Consistency,TEMPORAL REFERENTIAL CONSISTENCY,1
Temporal Referential Factual Deviation,TEMPORAL REFERENTIAL FACTUAL DEVIATION,1
Temporal Relation F1,TEMPORAL RELATION F1,1
Temporal Shift (TS),TEMPORAL SHIFT TS,1
Temporal deviation,TEMPORAL DEVIATION,1
Temporally Referential Consistent Factuality,TEMPORALLY REFERENTIAL CONSISTENT FACTUALITY,1
Tense Accuracy,TENSE ACCURACY,1
Term Accuracy,TERM ACCURACY,1
Term Coverage,TERM COVERAGE,1
Term Success Rate (TSR),TERM SUCCESS RATE TSR,1
Term%,TERM,1
Term-level Accuracy,TERM LEVEL ACCURACY,1
Term-level Coverage,TERM LEVEL COVERAGE,1
Terms Coverage,TERM COVERAGE,1
Test Case Average Accuracy,TEST CASE ACCURACY,1
Test Computational Accuracy,TEST COMPUTATIONAL ACCURACY,1
Test Perplexity,TEST PERPLEXITY,1
Test Suite Accuracy,TEST SUITE ACCURACY,1
Test case pass rate,TEST CASE PASS RATE,1
Test-Retest Consistency Score (TRCS),TEST RETEST CONSISTENCY TRCS,1
Test-Retest Reliability,TEST RETEST RELIABILITY,1
Test-Suite Accuracy (TS),TEST SUITE ACCURACY,1
Test-Suite Execution Accuracy,TEST SUITE EXECUTION ACCURACY,1
Test-suite accuracy,TEST SUITE ACCURACY,1
Testimony Accuracy,TESTIMONY ACCURACY,1
Text Complexity Score,TEXT COMPLEXITY,1
Text Embeddings,TEXT EMBEDDINGS,1
Text Feature Dissimilarity,TEXT FEATURE DISSIMILARITY,1
Text Generality,TEXT GENERALITY,1
Text Influence Rate,TEXT INFLUENCE RATE,1
Text Length Distribution,TEXT LENGTH DISTRIBUTION,1
Text similarity,TEXT SIMILARITY,1
Text-Match,TEXT MATCH,1
Text-to-image retrieval,TEXT TO IMAGE RETRIEVAL,1
TextUtilization,TEXTUTILIZATION,1
Textual Entailment (NLI),TEXTUAL ENTAILMENT,1
Textual Entailment Score,TEXTUAL ENTAILMENT,1
Textual similarity,TEXT SIMILARITY,1
Thing Explainer out-of-vocabulary,THING EXPLAINER OUT OF VOCABULARY,1
Threat,THREAT,1
Tie Detection Score,TIE DETECTION,1
Time Buffer Ratio (TBR),TIME BUFFER RATIO TBR,1
Time Consumption,TIME CONSUMPTION,1
Time Consumption (#NC),TIME CONSUMPTION,1
Time Cost Per Prompt (TCPP),TIME COST PER PROMPT TCPP,1
Time Overhead,TIME OVERHEAD,1
Time Per Output Token,TIME PER OUTPUT TOKEN,1
Time expenditure,TIME EXPENDITURE,1
Time to First Token,TIME TO FIRST TOKEN,1
Timed BLEU,TIMED BLEU,1
Timed BLEURT,TIMED BLEU,1
Timeout compliance,TIMEOUT COMPLIANCE,1
Title Similarity,TITLE SIMILARITY,1
Title search rate,TITLE SEARCH RATE,1
Token Acceptance Rate,TOKEN ACCEPTANCE RATE,1
Token Alignment Consistency Score (TACS),TOKEN ALIGNMENT CONSISTENCY TACS,1
Token Averaged Reward,TOKEN AVERAGED REWARD,1
Token Confidence,TOKEN CONFIDENCE,1
Token Distance,TOKEN DISTANCE,1
Token Distribution Entropy,TOKEN DISTRIBUTION ENTROPY,1
Token Entropy,TOKEN ENTROPY,1
Token Error Rate,TOKEN ERROR RATE,1
Token Gain,TOKEN GAIN,1
Token Likelihood,TOKEN LIKELIHOOD,1
Token Match,TOKEN MATCH,1
Token Reduction Percentage,TOKEN REDUCTION PERCENTAGE,1
Token Repetition,TOKEN REPETITION,1
Token Sort Ratio,TOKEN SORT RATIO,1
Token Usage,TOKEN USAGE,1
Token acceptance ratio,TOKEN ACCEPTANCE RATE,1
Token accuracy,TOKEN ACCURACY,1
Token co-occurrence overlap,TOKEN CO OCCURRENCE OVERLAP,1
Token consumption,TOKEN CONSUMPTION,1
Token count,TOKEN COUNT,1
Token probability,TOKEN PROBABILITY,1
Token rankings,TOKEN RANKINGS,1
Token repetition ratio,TOKEN REPETITION RATIO,1
Token throughput,TOKEN THROUGHPUT,1
Token usage,TOKEN USAGE,1
Token-based F1,TOKEN BASED F1,1
Token-by-token accuracy,TOKEN BY TOKEN ACCURACY,1
Token-level Accuracy,TOKEN LEVEL ACCURACY,1
Token-level attacking success rate,TOKEN LEVEL ATTACKING SUCCESS RATE,1
Token-level micro F1,TOKEN LEVEL F1,1
Token-level predictive accuracy,TOKEN LEVEL PREDICTIVE ACCURACY,1
Token-wise Precision,TOKEN WISE PRECISION,1
Token-wise Recall,TOKEN WISE RECALL,1
TokenRatio,TOKENRATIO,1
Token_F1,TOKEN F1,1
Tokenized prompt length,TOKENIZED PROMPT LENGTH,1
Tokens,TOKENS,1
Tokens per Second,TOKENS PER SECOND,1
Tokens per Second (Ts/s),TOKENS PER SECOND,1
Tokens/Second,TOKENS SECOND,1
Tokens_between_switches,TOKENS BETWEEN SWITCHES,1
Tool Awareness,TOOL AWARENESS,1
Tool Hallucination Rate,TOOL HALLUCINATION RATE,1
Tool Hints Used,TOOL HINTS USED,1
Tool Invocations Per Subtask/Milestone,TOOL INVOCATIONS PER SUBTASK MILESTONE,1
Tool Selection Accuracy,TOOL SELECTION ACCURACY,1
Tool Selection Score,TOOL SELECTION,1
Tool Usage Rate,TOOL USAGE RATE,1
Tool Usage Ratio,TOOL USAGE RATE,1
Tool hallucination rate,TOOL HALLUCINATION RATE,1
Top 1000 most common words proportion,TOP 1000 MOST COMMON WORDS PROPORTION,1
Top-15 Accuracy,TOP 1 ACCURACY,1
Top-2 Accuracy,TOP 1 ACCURACY,1
Top-5,TOP,1
Top-5 Accuracy,TOP 1 ACCURACY,1
Top-5 SER,TOP 5 SER,1
Top-K Predicted Verb,TOP K PREDICTED VERB,1
Top-N Hit Rate,TOP N HIT RATE,1
Top-k Frequency,TOP K FREQUENCY,1
Top-k Retrieval,TOP K RETRIEVAL,1
Top-k Retrieval Accuracy,TOP K RETRIEVAL ACCURACY,1
Top-k accuracy,TOP 1 ACCURACY,1
Top-k retrieval accuracy,TOP K RETRIEVAL ACCURACY,1
Topic Accuracy,TOPIC ACCURACY,1
Topic Achieved (TA) score,TOPIC ACHIEVED TA,1
Topic Coherence,TOPIC COHERENCE,1
Topic Coherence (TC),TOPIC COHERENCE,1
Topic Diversity (TD),TOPIC DIVERSITY,1
Topic Modeling (BERTopic),TOPIC MODELING BERTOPIC,1
Topic Quality,TOPIC QUALITY,1
Topic Relevance,TOPIC RELEVANCE,1
Topic modeling (LDA),TOPIC MODELING LDA,1
Topic-Score,TOPIC,1
Topical Similarity Score,TOPICAL SIMILARITY,1
Topographic Similarity (TopSim),TOPOGRAPHIC SIMILARITY TOPSIM,1
Total API actions,TOTAL API ACTIONS,1
Total Coverage,TOTAL COVERAGE,1
Total Deviation (TD),TOTAL DEVIATION TD,1
Total Payoff,TOTAL PAYOFF,1
Total Steps,TOTAL STEPS,1
Total Throughput,TOTAL THROUGHPUT,1
Total Tokens,TOTAL TOKENS,1
Total UI actions,TOTAL API ACTIONS,1
Total Variation,TOTAL VARIATION,1
Total Variation Distance (TVD),TOTAL VARIATION DISTANCE,1
Total Welfare,TOTAL WELFARE,1
Total edits,TOTAL EDITS,1
Total-Variation Distance,TOTAL VARIATION DISTANCE,1
TotalProb,TOTALPROB,1
Tox.Prob,TOX PROB,1
ToxiGen,TOXIGEN,1
ToxiScore,TOXISCORE,1
Toxic Completion Proportion,TOXIC COMPLETION PROPORTION,1
Toxic Confidence,TOXIC CONFIDENCE,1
Toxic Score,TOXIC,1
Toxicity (BERT classifier),TOXICITY BERT CLASSIFIER,1
Toxicity (Detoxify),TOXICITY DETOXIFY,1
Toxicity (HateBERT),TOXICITY HATEBERT,1
Toxicity (Perspective API),TOXICITY PERSPECTIVE API,1
Toxicity (ToxiGen classifier),TOXICITY TOXIGEN CLASSIFIER,1
Toxicity Percentage,TOXICITY PERCENTAGE,1
Toxicity Prob.,TOXICITY PROB,1
Toxicity Probability (TP),TOXICITY PROBABILITY,1
Toxicity Proportion,TOXICITY PROPORTION,1
Toxicity Scores,TOXICITY SCORES,1
Toxicity classifier scores,TOXICITY CLASSIFIER SCORES,1
Toxicity percentage,TOXICITY PERCENTAGE,1
Toxicity probability,TOXICITY PROBABILITY,1
Toxicity score (Llama Guard 2),TOXICITY LLAMA GUARD,1
Toxicity scores,TOXICITY SCORES,1
ToxinPred3,TOXINPRED3,1
TraceLeak@K,TRACELEAK,1
Tradeoff Area (ToA),TRADEOFF AREA TOA,1
Tradeoff Gain Ratio (ToGR),TRADEOFF GAIN RATIO TOGR,1
Train-n,TRAIN,1
Training data overlap (13-gram),TRAINING DATA OVERLAP 13 GRAM,1
Training episodes,TRAINING EPISODES,1
Trajectory Coherence,TRAJECTORY COHERENCE,1
Trajectory Efficiency Score,TRAJECTORY EFFICIENCY,1
Trajectory Length,TRAJECTORY LENGTH,1
Trajectory Volatility,TRAJECTORY VOLATILITY,1
TransQuest,TRANSQUEST,1
Transfer (Trans),TRANSFER TRANS,1
"Transfer Accuracy (r-ACC, a-ACC)",TRANSFER ACCURACY R ACC A ACC,1
Transfer Attack Success Rate (T-ASR),TRANSFER ATTACK SUCCESS RATE T ASR,1
Transferability Score,TRANSFERABILITY,1
Translation Consistency Score,TRANSLATION CONSISTENCY,1
Translation Probability,TRANSLATION PROBABILITY,1
Translation Success Rate,TRANSLATION SUCCESS RATE,1
Translation latency,TRANSLATION LATENCY,1
Translation-Language Accuracy,TRANSLATION LANGUAGE ACCURACY,1
Translation-language accuracy,TRANSLATION LANGUAGE ACCURACY,1
Translational Error Rate,TRANSLATIONAL ERROR RATE,1
Transparency selection rate,TRANSPARENCY SELECTION RATE,1
Tree Match,TREE MATCH,1
Tree Score,TREE,1
Tree Similarity,TREE SIMILARITY,1
Tree integrity score,TREE INTEGRITY,1
TreeBLEU,TREEBLEU,1
Trend Accuracy,TREND ACCURACY,1
Tri-Aligned,TRI ALIGNED,1
Tri-gram Entropy,TRI GRAM ENTROPY,1
Trigram Diversity,TRIGRAM DIVERSITY,1
